,Preu
25,1388.9
26,1053.9
27,966.4
28,814.8
29,939.7
30,963.6
31,967.9
32,920.8
33,816.4
34,841.0
35,928.3
36,707.9
37,741.3
38,698.9
39,788.1
40,963.4
42,815.7
43,789.9
44,690.4
45,686.4
47,735.4
48,778.0
49,636.8
50,675.4
51,714.8
52,565.8
53,452.0
54,546.1
56,605.0
57,584.1
58,725.8
59,798.9
60,777.2
61,815.5
62,873.0
63,887.3
64,865.8
65,969.1
66,1427.5
67,1037.0
68,1233.2
69,749.7
70,1000.1
71,863.0
72,765.3
146,853.3
147,1041.0
148,856.5
149,919.8
150,999.9
151,943.5
152,1249.4
153,1159.0
154,1029.5
155,986.1
156,856.2
158,687.8
159,825.5
160,867.8
161,893.6
162,849.5
163,874.3
164,1096.6
165,946.1
166,1822.7
167,1078.1
168,1432.2
169,1679.1
170,1272.1
171,1304.4
172,1073.3
173,1060.5
174,910.3
175,998.5
176,950.9
177,968.7
178,916.1
179,739.3
180,860.4
181,997.3
182,682.8
183,695.6
184,791.3
185,758.9
186,879.2
188,767.6
189,803.2
190,725.9
191,721.3
193,686.6
195,633.8
196,603.9
197,707.8
198,623.8
200,508.4
202,701.0
204,759.5
205,835.3
206,809.5
207,788.2
208,898.5
209,853.8
210,890.9
211,975.7
212,1446.1
213,987.1
214,840.9
215,696.9
216,1076.6
217,854.3
218,767.5
292,833.9
293,982.5
294,823.1
295,970.9
296,997.4
297,973.0
298,1273.9
299,1192.3
300,1067.4
301,959.3
302,820.2
304,828.2
305,873.9
306,842.1
307,892.3
308,858.2
309,883.1
310,1058.1
311,1012.4
312,1932.3
313,1192.8
314,1314.4
315,1699.4
316,1321.9
317,1427.9
318,1073.4
319,909.9
320,777.6
321,1001.2
322,956.5
323,958.2
324,901.0
325,848.5
326,825.8
327,926.5
328,706.0
329,748.5
330,787.4
331,770.2
332,830.0
334,788.0
335,842.0
336,759.3
337,712.8
339,771.4
340,833.3
341,627.0
342,692.2
343,712.1
344,583.8
346,572.4
348,668.5
350,738.0
351,825.9
352,795.0
353,834.2
354,858.4
355,894.2
356,869.1
357,1006.3
358,1346.7
359,1006.9
360,1074.4
361,801.5
362,956.8
363,822.4
364,782.4
438,787.0
439,1003.9
440,875.0
441,888.9
442,959.5
443,902.1
444,1208.8
445,1126.0
446,1001.4
447,940.7
448,810.2
450,762.7
451,834.3
452,842.9
453,817.4
454,823.2
455,850.3
456,1037.9
457,993.3
458,1577.1
459,1390.0
460,1338.4
461,1729.5
462,1286.0
463,1307.1
464,1033.3
465,1026.8
466,790.4
467,941.5
468,943.2
469,928.8
470,845.6
471,716.3
472,786.5
473,856.4
474,651.4
475,679.0
476,671.7
477,798.3
478,817.1
480,747.5
481,751.8
482,723.6
483,681.3
485,750.2
486,756.1
487,651.3
488,644.4
489,673.8
490,600.2
492,514.1
494,610.0
496,688.9
497,794.0
498,766.6
499,779.4
500,846.3
501,817.7
502,870.8
503,952.2
504,1332.4
505,974.7
506,1392.6
507,731.6
508,859.9
509,807.4
510,765.9
